Deelnemer ID,Nummer,Spotify ID,Artiest,Stemming begin,Energie begin,Gevoel begin,Aan het studeren,Studietaak,Muziek tijdens studeren,Moeilijkheid studie,Reden focus,Stemming later,Energie later,Gevoel later,track_id,track_genre,energy,valence,tempo,danceability,popularity,Stemmingsverschil,Energieverschil,_bronrij
3070,Youâ€™ve Got Mail,spotify:episode:1fl56jMtjIfvNJRvGJPqPQ,,,,,,,,,,,,,,,,,,,,,,93
3070,True or False?,spotify:episode:0HrRW0UBmvdqZ5xHDkBjHv,,2.0,1.0,Happy,No,,,,,2.0,1.0,Delighted,,,,,,,,0.0,0.0,94
3070,Urban Legend (Gregory Ross),spotify:episode:7aRrDIcwb2eJGFHVivxaCn,,1.0,1.0,Motivated,No,,,,,2.0,1.0,Confident,,,,,,,,1.0,0.0,95
3070,Unpacking a Disappearance,spotify:episode:1CRMwuX5B70EzqWbBh0Wm3,,2.0,2.0,Delighted,No,,,,,2.0,2.0,Excited,,,,,,,,0.0,0.0,96
3070,The Worst Pies in London - Highlights Version,spotify:track:7MFbWfml7ckdX2zbRbHS63,Helena Bonham Carter,1.0,1.0,Motivated,No,,,,,2.0,0.0,Motivated,,,,,,,,1.0,-1.0,97
3070,My Friends,spotify:track:01zYK5iHym0Iv5zntatkIO,Johnny Depp,2.0,1.0,Delighted,No,,,,,1.0,1.0,Excited,,,,,,,,-1.0,0.0,98
3070,A Model Mother,spotify:episode:3wcyNMrniW8XckWQrRUmTE,,1.0,-2.0,Worried,No,,,,,0.0,-1.0,Hopeful,,,,,,,,-1.0,1.0,99
3070,At the Mall,spotify:episode:0Fbz1dbmx64pQkijkNDxTf,,1.0,1.0,Happy,Yes,Memorising information,Yes,1.0,0.0,,,,,,,,,,,,,100
3070,At the Mall,spotify:episode:0Fbz1dbmx64pQkijkNDxTf,,,,,,,,,,,,,,,,,,,,,,101
3070,"The Nutcracker, Op.71 (1992 - Remaster): Cafe",spotify:track:4mfeHg2gIMSnmHxhEIZWjw,Pyotr Ilyich Tchaikovsky,1.0,0.0,Calm,No,,,,,2.0,1.0,Confident,,,,,,,,1.0,1.0,102
3070,On the Road Again,spotify:episode:5asIV8WPvjUgpTYlmid3TZ,,1.0,1.0,Excited,No,,,,,1.0,1.0,Worried,,,,,,,,0.0,0.0,103
3070,On the Back Porch,spotify:episode:7DJcQafdQshiGctwTLvUF8,,1.0,1.0,Happy,No,,,,,1.0,0.0,Calm,,,,,,,,0.0,-1.0,104
3070,Heading West,spotify:episode:2sOf4WtuY19alGjJDLT9Fi,,1.0,1.0,Excited,Yes,Memorising information,Yes,1.0,0.0,,,,,,,,,,,,,105
3070,Desi's Army,spotify:episode:012uXqUfMqhZs2eGynQnby,,1.0,1.0,Worried,No,,,,,1.0,1.0,Happy,,,,,,,,0.0,0.0,106
3070,Maria de Buenos Aires: Yo soy MarÃ­a (Arr. del Rey),spotify:track:6h6Rhtd6gQh76wplYMuJb7,Astor Piazzolla,2.0,2.0,Delighted,Yes,Memorising information,Yes,1.0,1.0,,,,,,,,,,,,,107
3070,"Midsommarvaka (Midsummer Vigil), Op. 19, ""Swedish Rhapsody No.1""",spotify:track:6bnYnAVPzpWLqG4mqC9gc3,Hugo AlfvÃ©n,1.0,1.0,Excited,Yes,Memorising information,Yes,1.0,0.0,1.0,1.0,Worried,,,,,,,,0.0,0.0,108
3070,Needle in a Needle Stack - Part 2,spotify:episode:1kP1VbVt1MOopd9BTw2uWq,,,,,,,,,,,,,,,,,,,,,,109
3070,Needle in a Needle Stack - Part 2,spotify:episode:1kP1VbVt1MOopd9BTw2uWq,,0.0,-2.0,Tired,No,,,,,1.0,0.0,Calm,,,,,,,,1.0,2.0,110
3070,sommeil,spotify:track:6MLWeN4Ws0JkEJkmGr6VlC,Stromae,1.0,1.0,Excited,No,,,,,1.0,0.0,Content,,,,,,,,0.0,-1.0,111
3070,My Friends,spotify:track:01zYK5iHym0Iv5zntatkIO,Johnny Depp,1.0,0.0,Content,No,,,,,,,,,,,,,,,,,112
3070,Why Did It Have To Be Me?,spotify:track:6rekLbbb3i42gCgFIXOFvE,Josh Dylan,1.0,1.0,Motivated,No,,,,,1.0,1.0,Loving,,,,,,,,0.0,0.0,113
3070,Fernando,spotify:track:1V9zWcD0PpWlFa42vCErzm,Cher,,,,,,,,,,,,,,,,,,,,,114
3070,Johanna,spotify:track:01NcXkODkVNxwkM1dAIzvx,Jamie Campbell Bower,,,,,,,,,,,,,,,,,,,,,115
3070,Lucy In The Sky With Diamonds - Remastered 2009,spotify:track:25yQPHgC35WNnnOUqFhgVR,The Beatles,,,,,,,,,,,,25yQPHgC35WNnnOUqFhgVR,british,0.325,0.668,65.09,0.311,68.0,,,116
3070,Lucy In The Sky With Diamonds - Remastered 2009,spotify:track:25yQPHgC35WNnnOUqFhgVR,The Beatles,,,,,,,,,,,,25yQPHgC35WNnnOUqFhgVR,psych-rock,0.325,0.668,65.09,0.311,68.0,,,116
3070,Pretty Women - Highlights Version,spotify:track:3XOjFgrErsNvD05zsJ05wC,Johnny Depp,2.0,1.0,Delighted,No,,,,,1.0,1.0,Motivated,,,,,,,,-1.0,0.0,117
